ID,Name in the language,Name in English,Alternate names,Countries,Country codes,Description of the location(s),Latitude,Longitude,Degree of endangerment,Number of speakers,Date/accuracy of estimate,Sources
02239,,A’ingae / Cofan (Colombia),"Kofan, A’i, A’ingae, Kofane, Cofan",Colombia,CO,"Colombia-Ecuador border area. In Colombia, Department of Putumayo, in Orito, Valle del Guamuez and San Miguel.",0.4525,-76.9191,severely endangered,379,Fundación Zio A’I Unión de Sabiduría - 2008. Total population 1194,"Fundación Zio-A’I Unión de Sabiduría - Censo - 2008Tobar, María Elena. Dwswnga a’indekhwmbe ingi ayafangae ateswpa tsaiki: Gramática Pedagógica para Bachillerato (6 ° a 11 °). 2008Tobar, María Elena. Ingi ayafangae ateswpa tsaiki: Gramática Pedagógica de la lengua Cofán de cero a quinto grado de escolaridad. 2004"
02188,,A’ingae / Cofan (Ecuador),"Cofan, Kofan (see Colombia)",Ecuador,EC,"In Ecuador: Province of Sucumbíos, Lago Agrio county, Dureno and Jambelí parishes; Cascales county, El Dorado parish; Cuyabeno county, Cuyabeno parish; Sucumbíos county, La Bonita parish. Major settlements are in Sinangue, Dovuno, Dureno and Zabalo,",0.0659,-76.7065,definitely endangered,700,"2002 Census developed by the Cofan FederationCODENPE/SIDENPE 2004","- CODENPE - PRODEPINE, Diagnóstico Participativo y Plan de Desarrollo Local de la Nacionalidad Cofán, 2002-2205. - Fischer, Rafael. 2005. “Documentación y descripción gramatical del A’ingae (Cofán)”. (Conferencia presentada en la Universidad Católica, Quito, octubre 07, 2005) (versión digital).- Juncosa, José. 1999. Mapa lingüístico de la Amazonia ecuatoriana. Quito: Abya-Yala."
01500,,A’tong,,India,IN,,25.2844,91.1755,severely endangered,0,unknown number of speakers,"Burling, Robbins. 2003. ’The Tibeto-Burman languages of northeastern India’, pp. 169-191 in Graham Thurgood and Randy J. LaPolla (eds), The Sino-Tibetan Languages. London: Routledge."
00153,,Aasax,Asa,United Republic of Tanzania,TZ,,-5.1948,37.7380,extinct,0,1976,Maarten Mous
03164,,Abaga,,Papua New Guinea,PG,"North of Henganofi, around Kisi, Eastern Highlands Province, eastern part of the Goroka District",-6.1883,145.5976,critically endangered,5,1994 (150 reported in the 1960s),"Wurm, Stephen A. 2007. ’Australia and the Pacific’, pp. 424-557 in Christopher Moseley (ed.) Encyclopedia of the World’s Endangered Languages. London/New York: Routledge."
02665,,Abai Sungai,,Malaysia,MY,"Sabah, Malaysia",5.5870,118.3695,definitely endangered,400,2000,Grimes 2000
01393,,Abaza,Tapanta,Russian Federation; Turkey,RU;TR,"parts of the Karachay-Cherkes Republic in the Russian Federation; the Ashkharawa dialect, officially subsumed under Abaza, belongs to Abkhaz",44.1556,41.9368,definitely endangered,31000,"2002 Schulze estimate; the 2002 census of the Russian Federation lists 38,247 speakers of Abaza and the Ashkharawa dialect of Abkhaz collectively, which may also include other Abkhaz speakers; perhaps a few thousand speakers in Turkey","_. _. _______: __________ ____. — _____ __________ _________ _ ________ __________: ____________ I. ______: _____, 1997. | Wolfgang Schulze: Abasinisch. — Lexikon der Sprachen des europäischen Ostens. Herausgegeben von Milo_ Okuka unter Mitwirkung von Gerald Krenn. Wieser Enzyklopädie des europäischen Ostens 10; Klagenfurt: Wieser, 2002. 837–841."
01392,,Abkhaz,,Georgia; Russian Federation; Turkey,GE;RU;TR,"Abkhazia; diaspora communities in Turkey, the Russian Federation, Georgia, the Middle East and Western Europe; includes the Ashkharawa dialect officially subsumed under Abaza in the Russian Federation",43.1330,40.8471,vulnerable,125000,estimate based on various sources,"_. _. _______: _________ ____. — _____ __________ _________ _ ________ __________: ____________ I. ______: _____, 1997. | Wolfgang Schulze: Abchasisch. — Lexikon der Sprachen des europäischen Ostens. Herausgegeben von Milo_ Okuka unter Mitwirkung von Gerald Krenn. Wieser Enzyklopädie des europäischen Ostens 10; Klagenfurt: Wieser, 2002. 843–850."
01602,,Acatepec Mazatec,en naxi llanazo,Mexico,MX,"Municipality of Santa Cruz Acatepec, state of Oaxaca",18.1621,-96.8766,vulnerable,1038,Census 2000,Census 2000 and information provided by INALI
00421,,Achagua,"Xagua, Ajagua, Axagua",Colombia,CO,Resguardos La Victoria (Umapo) and Turpial in the municipality of Puerto López (Meta). Location shared with Piapoco speakers.,4.4340,-70.8837,severely endangered,283,DANE: Census 1993 (projection 2001),"www.etniasdecolombia.orgArango and Sánchez (2004)"
02572,,Aché,,Paraguay,PY,,-25.6613,-55.6787,definitely endangered,,,
02064,,Acheron,Game,Sudan,SD,"Northern Sudan, Kordofan Province, southern Nuba Hills. Acheron",10.8090,30.2453,severely endangered,70000,"No available census or figures on linguistic situation. Estimate derived from Editor’s visit to Nuba Mountains (1999), UN assessments, vaccination campaigns and various missions (2002-2008).","UN interagency assessment missions, vaccination campaignsEditor’s field visit"
02130,,Achi’,,Guatemala,GT,"West of Rabinal, Baja Verapaz dept.",15.0845,-90.4888,vulnerable,82640,"Instituto Nacional de Estadística, Guatemala (2002) XI Censo Nacional de Población",XI Censo Nacional de Población for number of speakers and names of languages; Contributor H. Antonio García Zúñiga consulted Ethnologue for some locations.
00743,,Achuar,Achual,Ecuador; Peru,EC;PE,"- Ecuador: Provinces of Pastaza and Morona Santiago. There are about 30 communities, eleven of which are settled along the Ecuadorian-peruvian border. - Peru: Departamento de Loreto, provincias de Alto Amazonas y Loreto, en la cuenca de los ríos Pastaza, Huasaga, Morona (Cálculo de los propios achuar, 2007) ",-2.8991,-77.4316,definitely endangered,2500,"Ecuador: CODENPE, 2008Peru: Census developed in 2007 by the Achuar communties","- Juncosa, José. 1999. Mapa lingüístico de la Amazonia ecuatoriana. Quito: Abya-Yala.- CODENPE. www.codenpe.gov.ec"
01093,,Achumawi,,United States of America,US,"Both Achumawi and Atsugewi are heritage languages of the Pit River Tribe, which is organized into 11 bands representing the tribal groups with traditional territory along Pit River.",40.8816,-122.6715,critically endangered,10,"Fewer than 10 speakers, elderly; most of them semi-speakers or passive speakers","Victor Golla, Ives Goddard, Lyle Campbell, Marianne Mithun, and Mauricio Mixco. 2007. North America. Atlas of the World’s Languages (2nd. edition), ed. by R.E. Asher and C.J. Moseley, 7-44. London: Routledge."
01151,,Acoma-Laguna,"Acoma, Laguna, Acoma Keresan, Laguan Keresan",United States of America,US,"Spoken in Acoma and Laguna pueblos in northwestern New Mexico, west of Albuquerque. (Laguna is at Lat. N 35/93/14.97, Long. W 107/19/45.57.)",34.8964,-107.5816,definitely endangered,4000,"At Acoma there are about 2,000 speakers, most are over 30; at Laguna there are about 2,000 speakers, most are over 40. No children are acquiring the language.","Victor Golla, Ives Goddard, Lyle Campbell, Marianne Mithun, and Mauricio Mixco. 2007. North America. Atlas of the World’s Languages (2nd. edition), ed. by R.E. Asher and C.J. Moseley, 7-44. London: Routledge."
03088,,Adabe,,Timor-Leste,TL,"Autoro Island, Timor Leste",-8.2549,125.5737,vulnerable,1000,1981,"Wurm, Stephen A. 2007. ’Australia and the Pacific’, pp. 424-557 in Christopher Moseley (ed.) Encyclopedia of the World’s Endangered Languages. London/New York: Routledge."
01291,,Adi,Abor,China; India,CN;IN,East Siang District; Upper Siang District,28.3527,95.2294,vulnerable,170000,"2001, reasonably good estimate",
00234,,Adnyamathanha,,Australia,AU,,-30.6000,138.6035,definitely endangered,100,"NILS Report 2005Reliable & recent (+/- 20%)",
01380,,Adyge,Adyghe; Western Circassian,Iraq; Israel; Jordan; Russian Federation; Syrian Arab Republic; The former Yugoslav Republic of Macedonia; Turkey,IQ;IL;JO;RU;SY;MK;TR,"the Republic of Adygea and adjacent regions in the Russian Federation and many diaspora communities in Turkey, the Middle East and Western Europe",44.9181,39.7485,vulnerable,300000,"compromise figure based on various sources; 129,419 according to the 2002 Russian census plus a large number of speakers in diaspora communities","Wolfgang Schulze: Tscherkessisch. — Lexikon der Sprachen des europäischen Ostens. Herausgegeben von Milo_ Okuka unter Mitwirkung von Gerald Krenn. Wieser Enzyklopädie des europäischen Ostens 10; Klagenfurt: Wieser, 2002. 883–890."
02040,,Afitti,Ditti,Sudan,SD,,12.4419,30.7534,severely endangered,4512,1984,Ethnologue
01351,,Agul,Aghul,Russian Federation,RU,"fifteen villages in Agul County and five villages in Kurakh County, amongst them Richa, Burkikhan, Tpig, Kurag, Burshag, and Fite, in the Republic of Daghestan and in a number of expatriate communities elsewhere in the Russian Federation",41.7518,47.6875,definitely endangered,29399,2002 census,"_. _. ________: _________ ____. — _____ __________ _________ _ ________ __________: ____________ I. ______: _____, 1997."
00722,,Aheu,former village name Phonsung,Lao People’s Democratic Republic,LA,,18.4333,104.5000,definitely endangered,500,,
00595,,Ahom,,India,IN,,26.5393,92.5378,extinct,0,,
00199,,Ahtna,"Ahtena, Atna",United States of America,US,,62.7547,-144.3164,critically endangered,25,2000,Krauss 2007
02398,,Aikana,"Aikaná, Masaká, Kasupá, Huarí, Corumbiara, Mondé, Tubarão",Brazil,BR,"The group lives in indigenous lands Tubarão/Latundê, Posto Indígena Rio Guaporé, indigenous lands Kwazá do São Pedro, southeastern Rondônia - Brazil",-12.6510,-60.3918,definitely endangered,150,"2005 pop = 180, linguist Vasconelos/ISA. Speaker estimate from Hein van der Voort, pc.","Moore, 2008, IBGE databank Moore, 2008, Scientific American (Brasil)"
00686,,Aimol,,India,IN,,24.4971,93.6145,extinct,0,,
02481,,Ainba,,Papua New Guinea,PG,Sandaun (West Sepik) Province,-3.1000,141.2000,severely endangered,100,2000,Grimes 2000
00647,,Ainu (Hokkaido),,Japan,JP,the island of Hokkaido,43.2612,142.8222,critically endangered,15,1996 Alexander Vovin; Ainu is also studied as a second language,
00658,,Ainu (Kuril),,Russian Federation,RU,the northern islands of the Kuril chain (especially Shumshu and Paramushir) and the southern tip of Kamchatka (Cape Lopatka),46.8882,152.0068,extinct,0,Kuril Ainu became extinct in the late nineteenth century,"_. _. _______: _______ ____. — _____ ____: ______________ _____. ______: ______, 1997. 126–138."
00666,,Ainu (Sakhalin),,Russian Federation,RU,"the southern part of Sakhalin (Karafuto), from 1905 to 1945 under Japanese administration; most of the Ainu population was evacuated (after 1945) to Hokkaido, Japan, where a few speakers of Sakhalin Ainu survived until recently",47.3983,142.2949,extinct,0,"Sakhalin Ainu became extinct in the 1970s in Sakhalin, and after the death of the last speaker, who was 90 in 1992, in the émigré community in Japan","_. _. _______: _______ ____. — _____ ____: ______________ _____. ______: ______, 1997. 126–138."
01551,,Aiton,"Sham Doaniyas, Aitonia",India,IN,Lakhimpur and Sibsagar districts,26.6523,94.2901,severely endangered,2000,estimate; van Driem 2007c; Ethnologue gives 5000 (1990 Diller),
02780,,Aivilingmiutut,Eastern Canadian Inuktitut,Canada,CA,Spread over 2 communities in Canada,64.1657,-83.2430,vulnerable,1245,"2001 Census – based; average age: 20,7","1996 and 2001 Censuses, Statistics Canada; based on the Department of Canadian Heritage customized census retrievalsUNESCO Atlas 2nd edition (Wurm (2001))Ethnologue: Languages of the World (Gordon, (2005))http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/index_en.htmlhttp://en.wikipedia.org/wiki/Portal:Contents"
02039,,Aja,Adja,Sudan,SD,,8.6136,25.2465,critically endangered,200,1993,Ethnologue
00754,,Ajuru,"Ajurú or Wayurú, Wayoró",Brazil,BR,"The group living in indigenous lands Rio Guaporé, south-western Rondônia - Brazil",-12.0178,-64.7534,severely endangered,8,"2006 pop 94, FUNASA, ISA website; speaker estimate from Moore, personal observation","Moore, 2008, IBGE databank Moore, 2008, Scientific American (Brasil) www.sociambiental.org"
02488,,Ak,,Papua New Guinea,PG,Sandaun (West Sepik) Province,-3.6093,141.6604,severely endangered,83,2000,Grimes 2000
01420,,Aka,"Hruso, Hrusso, Akha",India,IN,Bichom valley in West Kameng Dt,27.1666,92.6312,definitely endangered,4000,"estimate, India Census 2001",
02041,,Aka,Jebel Sillok,Sudan,SD,,11.0112,34.2333,critically endangered,300,1989,"Bender, Ethnologue"
02131,,Akatek (Guatemala),"Acateco, Akateco",Guatemala,GT,"San Miguel Acatán, San Rafael La Independencia",15.5724,-91.4218,vulnerable,35763,"Instituto Nacional de Estadística, Guatemala (2002) XI Censo Nacional de Población",XI Censeo Nacional de Población for number of speakers and names of languages; contributor H. Antonio García Zúñiga consulted Ethnologue for some locations
01690,,Akatek (Mexico),"kuti’, Akatec, Akateco",Mexico,MX,"Municipality of Champotón, state of Campeche; Municipalities of Frontera Comalapa and La Trinitaria, state of Chiapas; Municipality of Othon P. Blanco in Quintana Roo",16.7823,-93.1061,vulnerable,532,Census 2000,"Census 2000, information provided by INALIComplementary information provided by collaborator H. Antonio García Zúñiga"
02287,,Akawaio (Brazil),"Ingaricó Akawaio, Arawaio, Kapon",Brazil,BR,,4.1711,-60.2490,vulnerable,1170,"2007 pop = 1170, ISA: speaker estimate based on linguist Odileiz Sousa Cruz, of U Federal of Roraima, pc, who claims about all speak","Databank Moore, 2008."
00422,,"Akawaio (Guyana, Venezuela)","Kapon (autodenomination shared with the Patamona), Ingarikó",Guyana; Venezuela (Bolivarian Republic of),GY;VE,"Mainly in the Mazaruni River Basin (Guyana), also in Gran Sabana region of Venezuela (state of Bolívar).",5.3753,-60.5126,definitely endangered,5800,"811 in Venezuela according to 1992 census (Forte 2000).The number of 5000 for Guyana is an estimate.","J. Forte, in: Queixalós and Renault-Lescure, ’As línguas amazônicas hoje’ (2000)"
02603,,Akeu,Akeu Akha,Lao People’s Democratic Republic; Myanmar; Thailand,LA;MM;TH,,21.5833,101.0166,definitely endangered,5000,2007,
01355,,Akhvakh,,Russian Federation,RU,"six villages in Akhvakh County and the villages of Ratlub, Tlyanub, and Tsegob in Kakhib County in the Republic of Daghestan in the Russian Federation; expatriate community of Akhvakh-dere in Kuba (Quba) County in Azerbaijan",42.4720,46.3238,definitely endangered,5793,2002 census,"_. _. ____________: _________ ____. — _____ __________ _________ _ ________ __________: ____________ I. ______: _____, 1997."
00155,,Akie,"Akiek, Okiek",United Republic of Tanzania,TZ,,-4.7735,37.3315,critically endangered,0,2008,Maarten Mous
00483,,Akkala Saami,,Russian Federation,RU,"earlier spoken in the village of Babino in southern Murmansk Province, from where the speakers were translocated to Lovozero, the centre of Lovozero County",67.5809,31.6680,extinct,0,the last speaker died in 2003,
01746,,Akum,,Cameroon; Nigeria,CM;NG,,6.7300,9.9316,critically endangered,600,2007,Bruce Connell
00745,,Akuntsu,"Akunt’su, Akuntsú",Brazil,BR,"The group lives in indigenous lands Rio Omoréré, south-eastern Rondônia - Brazil",-13.1169,-61.0180,critically endangered,6,"2006 pop is 6, FUNASA, ISA website, recent 1995 contact and all speak the language","Moore, 2008, IBGE databank Moore, 2008, Scientific American (Brasil) www.socioambiental.org"
02363,,Akuriyo,,Suriname,SR,"In Tëpu, on the Tapanahoni river, in southeastern Suriname. The last Akuriyo live in a Trio community.",2.8442,-55.7556,critically endangered,,,"Carlin and Arends (2002), ’Atlas of the Languages of Suriname’"
02112,,Akwáwa,"3 groups: Asurini do Tocantins, Parakanã, Suruí do Tocantins (Aikewara)",Brazil,BR,,-5.2441,-52.7014,vulnerable,1548,"2006-pop Suruí do Tocantins= 264, 2004-Parakanã pop=900 , 2006-Asurini do Tocantins pop= 384, FUNASA, ISA Almost all speak their language.","Databank Moore, 2008."
01193,,Alabama,,United States of America,US,"The Alabama-Coushatta Indian Reservation near Livingston, Texas. Until recently there were also speakers among the members of the Alabama-Quassarte Tribe, an administrative subdivision of the Muskogee Creek Nation, in Okfuskee County, Oklahoma.",30.7158,-94.7028,definitely endangered,275,The youngest speakers are probably in their teens; most are 50 or older.,"Victor Golla, Ives Goddard, Lyle Campbell, Marianne Mithun, and Mauricio Mixco. 2007. North America. Atlas of the World’s Languages (2nd. edition), ed. by R.E. Asher and C.J. Moseley, 7-44. London: Routledge."
02621,,Alabat Island Agta,,Philippines,PH,,14.1209,122.0282,critically endangered,30,2000,
01664,,Alabugat Tatar,,Russian Federation,RU,the village of Severnyy at the station of Ulan-Khol in Lagan’ County in the Kalmyk Republic; an outlying dialect of Nogay not listed at all by the SIL,45.4447,47.0324,definitely endangered,422,1987 figure in ________ 1988,_. _. ________: ____ ____________ _____ ___________ ______ _________ ____. ______ 1988.
00235,,Alawa,,Australia,AU,,-16.4676,134.0771,critically endangered,22,"NILS Report 2005Reliable & recent",
01675,,Alderney French,auregnais,United Kingdom of Great Britain and Northern Ireland,GB,the island of Alderney in the Bailiwick of Guernsey; an extinct outlying dialect of Norman not listed at all by the SIL,49.7098,-2.2075,extinct,0,the last native speakers died around 1960,
01322,,Alemannic,"Alsatian, Swabian, Walser (in English); alsacien (in French)",Austria; France; Germany; Italy; Liechtenstein; Switzerland,AT;FR;DE;IT;LI;CH,"the Germanic-speaking part of Switzerland; central and southern Baden-Württemberg and the Swabia region in Bavaria, Germany; the state of Vorarlberg and parts of the Reutte district in Tyrol, Austria; all of Liechtenstein: entire country; most of Alsace, France; parts of the Aosta Valley and northern Piedmont, Italy; ’Alemán Coloneiro’ spoken in Colonia Tovar, Venezuela, is based on Alemannic",47.2792,7.6904,vulnerable,,"not available, but in the range of millions","Werner König: dtv-Atlas Deutsche Sprache. 13. durchgesehene Auflage. München: Deutscher Taschenbuch Verlag, 2001."
01798,,Aleut (Eastern),"Unangany, Unangan, Unanghan",United States of America,US,"AtkaTraditionally spoken in the Aleutian Islands, the Pribilof Islands, and the Alaska Peninsula west of Stepovak Bay. Atka is the location where the dialects of Eastern and Western Aleut are separated.",54.7212,-164.4433,critically endangered,150,"2000Number is for total number of speakers of Aleut (Western, Eastern) combined, the number of Western Aleut speakers is at most 5 percent of the total","Krauss 2007Victor Golla, Ives Goddard, Lyle Campbell, Marianne Mithun, and Mauricio Mixco. 2007. North America. Atlas of the World’s Languages (2nd. edition), ed. by R.E. Asher and C.J. Moseley, 7-44. London: Routledge."
00233,,"Aleut (Western, Commander Islands)",,Russian Federation,RU,"Bering Island, one of the Commander Islands in the west of the Aleutian chain, near Kamchatka, in Kamchatka Province; moved there from Attu Island in Alaska in the early 19th century; cf. Copper Island Aleut",55.1710,166.0940,critically endangered,5,estimate based on _______ 1997,"_. _. _______: _________ ____. — _____ ____: ______________ _____. ______: ______, 1997. 101–116."
00200,,Aleut (Western),"Unangany, Unangan, Unanghan",United States of America,US,"AtkaTraditionally spoken in the Aleutian Islands, the Pribilof Islands, and the Alaska Peninsula west of Stepovak Bay. Atka is the location where the dialects of Eastern and Western Aleut are separated.",52.2304,-174.1978,severely endangered,150,"2000Number is for total number of speakers of Aleut (Western, Eastern) combined, the number of Western Aleut speakers is at most 5 percent of the total","Krauss 2007Golla et al. ms."
01676,,Algherese Catalan,,Italy,IT,the town of Alghero in northwestern Sardinia; an outlying dialect of Catalan not listed separately by the SIL,40.5638,8.3276,definitely endangered,10000,estimate based on Enquesta d’usos lingüístics a l’Alguer 2004,
00526,provençau aupenc,Alpine Provençal,occitan alpin (fr); vivaro-alpin (fr); gavot (fr),France; Italy,FR;IT,"the upper valleys of Piedmont (Val Mairo, Val Varacho, Val d’Esturo, Entraigas, Limoun, Vinai, Pignerol, Sestriero), Italy; the departments of Ardèche (except the north and the western border areas), Drôme (except the north), Hautes-Alpes, the northern parts of Alpes de Haute-Provence, and the southernmost parts of Isère, France; severely endangered in France; the original joint ISO code [prv] for Alpine Provençal and Provençal has been retired on false grounds",44.7467,6.6796,definitely endangered,200000,rough estimate based on various sources,
02732,,Alune,,Indonesia,ID,Maluku,-3.0637,128.3752,vulnerable,12000,2000,Grimes 2000
02922,,Aluo,"Laka, Gan Yi",China,CN,,25.9368,102.1839,definitely endangered,20000,2000,Bradley 2007
00632,,Alutor,,Russian Federation,RU,"most of Olyutor and Karaga counties and the north of Tigil’ County in Koryak Autonomous District; includes three dialect groups, Alutor proper, Karaga, and Palana",60.2016,165.4238,severely endangered,1000,"estimate based on the collective figure of 3,019 speakers of Alutor and Koryak, possibly inflated, cf. 2005 _________ estimate of a few hundred speakers",_. _. _________: __________ ____ http://lingsib.unesco.ru/ru/languages/aliutor.shtml.htm
02733,,Amahai,,Indonesia,ID,Maluku,-3.3352,128.9314,critically endangered,30,2000,Grimes 2000
00967,,Amahuaca,,Peru,PE,"Departamento de Ucayali, provincias de Atalaya y Purús, distrito de Raimondi y Yurúa; departamento de Madre de Dios, provincia de Tambopata, distrito de Las Piedras.",-10.8764,-72.2900,severely endangered,500,El Censo indígena hecho en el Perú en 1993 señaló 198 personas. El ILV (2006) menciona 250 en el Perú y 250 en Brasil,ILV (2006). Pueblos del Perú.
02345,,Amami,"dialects: Kikai, Tokunoshima",Japan,JP,"Amami Island and neigbouring islands, including Kikai and Tokunoshima islands",28.3672,129.4958,definitely endangered,,not available,"Yukio Uemura: The Ryukyuan language. Endangered Languages of the Pacific Rim A4-018; Osaka 2003.Patrick Heinrich: Language loss and revitalization in the Ryukyu Islands http://japanfocus.org/products/topdf/1596Patrick Heinrich: What leaves a mark should no longer stain: Progressive erasure and reversing language shift activities in the Ryukyu Islands http://www.sicri.org/ISIC1/j.%20ISIC1P%20Heinrich.pdf"
02009,,Amanayé,"Manaxo, Manajo, Amanage",Brazil,BR,,-3.7327,-49.1088,extinct,0,"2001 pop 192, ISA Speaker estimate from contacts with linguists","Moore, 2008."
00145,,Amba,,Uganda,UG,,0.6737,30.1980,vulnerable,16000,1991,Ethnologue
03147,,Amblong,,Vanuatu,VU,Santo,-15.4933,166.9846,definitely endangered,150,1983,"Wurm, Stephen A. 2007. ’Australia and the Pacific’, pp. 424-557 in Christopher Moseley (ed.) Encyclopedia of the World’s Endangered Languages. London/New York: Routledge."
02405,,Amis,Ami,China,CN,Taiwan Province,23.4456,121.4483,vulnerable,30000,2008,
02972,,Amok,,Myanmar,MM,,21.3610,100.6457,critically endangered,,,
02672,,Ampibabo Lauje,Lauje,Indonesia,ID,Sulawesi,0.3295,120.1904,vulnerable,6000,2000,Grimes 2000
01487,,Anal,,India,IN,,24.1517,93.9385,vulnerable,23000,"estimate, India Census 2001 [ Ethnologue figure for 1997 (IMA) is 15000]",
02013,,Anambé,,Brazil,BR,,-2.7674,-49.2297,critically endangered,6,"2000 pop 132, ISA. Speaker estimate from remarks by linguist Risoleta","Moore,2008."
01353,,Andi,,Russian Federation,RU,"nine villages, including Andi, Muni (Munib), and Kvankhidatl’, in Botlikh County in the Republic of Daghestan",42.7308,46.2963,definitely endangered,23729,2002 census,"_. _. ________: _________ ____. — _____ __________ _________ _ ________ __________: ____________ I. ______: _____, 1997."
02673,,Andio,Masama,Indonesia,ID,"Sulawesi, Indonesia",-0.8514,123.1457,vulnerable,1700,2000,Grimes 2000
